assembly,collapse,expansion,haplotypeswitch,inversion,number_of_contigs,number_of_contigs__10000_bp,number_of_contigs_1000000_bp,total_length,total_length_of_contigs__10000_bp,total_length_of_contigs_1000000bp,longest_contig,second_longest_contig_length,n50,n50_of_contigs_1mbp,mapping_rate,split.read_rate,depth,mapping_rate_in_large_contigs,split.read_rate_in_large_contigs,depth_in_large_conigs,num_structural_error,num_expansion,num_collapse,num_haplotype_switch,num_inversion,small.scale_assembly_error_.per_mbp,total_small.scale_assembly_error,base_substitution,small.scale_expansion,small.scale_collapse,qv,c,s,d,f,m,t,c_percent,s_percent,d_percent,f_percent,m_percent
MascCH02-dc_canu_insp,0,109,0,0,2513,2497,565,2500637435,2500497188,2311810561,21226579,20779049,5199780,5199780,99.44,0.45,24.8032,92.37,0.41,24.9244,3,3,0,0,0,0.694261929,1736,616,478,642,59.41235981,3201,125,3076,35,49,3285,97.4,3.8,93.6,1.1,1.5
MascCH02-dc_canu_pd_insp,4349,82973,2348332,432133,479,476,259,1361265576,1361238030,1305292321,21226579,20779049,6432872,6432872,99.43,34.71,45.5575,94.89,34.96,45.3418,1139,207,45,870,17,28.54607287,38858,34680,2158,2020,31.10701758,3183,2826,357,44,58,3285,96.9,86,10.9,1.3,1.8
MascCH02-dc_canu_ph_insp,4567,72649,2514288,165411,456,455,248,1329811296,1329801552,1280008794,21226579,20779049,6654202,6654202,99.44,35.86,46.6404,95.17,36.09,46.3762,1168,184,45,921,18,33.97950614,45186,40604,2395,2187,31.28241831,3184,2914,270,41,60,3285,96.9,88.7,8.2,1.2,1.8
MascCH02-dc_flye_insp,2106,2442,0,0,2750,2657,787,2460297463,2459794244,1929401649,9926560,7974697,2244144,2244144,99.44,1.63,25.2132,77.23,0.66,24.9712,155,84,71,0,0,16.74896187,41199,29669,7015,4515,44.45466244,3194,201,2993,38,53,3285,97.2,6.1,91.1,1.2,1.6
MascCH02-dc_flye_pd_insp,3742,102518,1873452,52372,1149,1129,426,1400878551,1400776034,1194505427,9926560,7868080,2915375,2915375,99.43,34.32,44.2724,83.91,34.31,43.812,956,192,35,716,13,26.83940836,37596,32864,2309,2423,31.59262402,3149,2721,428,51,85,3285,95.9,82.8,13,1.6,2.6
MascCH02-dc_flye_ph_insp,2960,74888,2307679,53789,1088,1069,394,1316597089,1316500428,1119539789,9926560,7868080,2982450,2982450,99.43,37.22,47.1067,83.85,37.43,46.7217,1085,154,26,891,14,36.24457614,47716,42216,2697,2803,31.64501346,3158,2956,202,53,74,3285,96.1,90,6.1,1.6,2.3
MascCH02-dc_hifiasm_insp,3502,77463,2574544,133504,406,406,138,1356971599,1356971599,1329236711,55388826,46872227,14322687,14322687,99.91,35.01,45.9172,97.26,35.05,45.6378,1205,213,47,929,16,32.53568463,44150,39181,2591,2378,30.8073964,3184,2859,325,45,56,3285,96.9,87,9.9,1.4,1.7
MascCH02-dc_hifiasm_pd.hap_insp,642,17208,3813498,29571,285,285,96,959135197,959135197,941498827,46872227,42238769,14246123,14246123,99.51,54.19,64.7186,97.42,54.62,64.5417,1680,78,32,1568,2,225.9264394,216694,201471,7568,7655,30.94479307,2181,1902,279,38,1066,3285,66.4,57.9,8.5,1.2,32.5
MascCH02-dc_hifiasm_ph_insp,3026,65119,2781798,137496,197,197,134,1312646305,1312646305,1295251604,55388826,46872227,14322687,14322687,99.9,36.51,47.4624,97.88,36.4,47.1388,1258,195,39,1007,17,36.71209816,48190,43061,2695,2434,31.10280297,3168,2924,244,46,71,3285,96.4,89,7.4,1.4,2.2
MascCH02-dc_ipa_insp,151471,10144,89541,207,1119,1109,609,2387406318,2387322938,2210835468,16174971,15872902,4303128,4303128,99.87,3.06,26.0913,91.36,2.44,25.7758,5859,290,5530,38,1,37.85118409,90363,72606,8540,9217,31.94872646,3200,260,2940,36,49,3285,97.4,7.9,89.5,1.1,1.5
